frequency_band,event_type,n_events,combined_z,mean_z,target,data_col,analysis_mode
1,Egress,30,-16.725796616729507,-3.0536986997421134,Fornax-A,rv2_coarse,per_band
1,Ingress,31,3.0484530339521427,0.5475183278774128,Fornax-A,rv2_coarse,per_band
2,Egress,29,-2.51206069924535,-0.4664779610676466,Fornax-A,rv2_coarse,per_band
2,Ingress,33,10.880570108801049,1.8940641400017189,Fornax-A,rv2_coarse,per_band
3,Egress,29,8.610455896699513,1.598921519596206,Fornax-A,rv2_coarse,per_band
3,Ingress,31,10.510318325033221,1.8877088971651386,Fornax-A,rv2_coarse,per_band
4,Egress,29,18.93649876085252,3.516419541285832,Fornax-A,rv2_coarse,per_band
4,Ingress,30,6.35412828224461,1.1600997978223087,Fornax-A,rv2_coarse,per_band
5,Egress,28,3.9601003973141737,0.7483886298672415,Fornax-A,rv2_coarse,per_band
5,Ingress,31,-4.423826556688517,-0.7945427048281085,Fornax-A,rv2_coarse,per_band
6,Egress,29,3.8844757016127964,0.7213290290515291,Fornax-A,rv2_coarse,per_band
6,Ingress,31,-9.520529668545981,-1.709937606574072,Fornax-A,rv2_coarse,per_band
7,Egress,30,1.0196631743726448,0.1861641738870737,Fornax-A,rv2_coarse,per_band
7,Ingress,30,-10.163461784124943,-1.8555857605023107,Fornax-A,rv2_coarse,per_band
8,Egress,31,-5.3317236228439535,-0.9576058316041788,Fornax-A,rv2_coarse,per_band
8,Ingress,30,1.4270323551293036,0.2605392703980142,Fornax-A,rv2_coarse,per_band
9,Egress,29,-2.487574876131134,-0.46193105786390876,Fornax-A,rv2_coarse,per_band
9,Ingress,30,-4.65182966242455,-0.8493040132605227,Fornax-A,rv2_coarse,per_band
all,Egress,32,-0.954487708482396,-0.16873118280677768,Fornax-A,rv2_coarse,combined
all,Ingress,34,1.0134912421283553,0.17381231407933678,Fornax-A,rv2_coarse,combined
1,Egress,7,-7.924858559696212,-2.995314989188242,Cygnus-A,rv2_coarse,per_band
1,Ingress,16,-5.751503521098646,-1.4378758802746614,Cygnus-A,rv2_coarse,per_band
2,Egress,6,7.636076807427711,3.1174153024831157,Cygnus-A,rv2_coarse,per_band
2,Ingress,14,-8.490944846044995,-2.269300464563884,Cygnus-A,rv2_coarse,per_band
3,Egress,7,6.1549115091724165,2.32633788498278,Cygnus-A,rv2_coarse,per_band
3,Ingress,13,-8.520987218534026,-2.363296641076747,Cygnus-A,rv2_coarse,per_band
